YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,COLLEGE CITY,COLLEGE STATE,COLLEGE LOCATION,COLLEGE TIME ZONE,COLLEGE TIME ZONE VALUE,DAYLIGHT SAVINGS TIME,COLLEGE LATITUDE,COLLEGE LONGITUDE,GAME CITY,GAME STATE,GAME LOCATION,GAME TIME ZONE,GAME TIME ZONE VALUE,DAYLIGHT SAVINGS TIME,GAME LATITUDE,GAME LONGITUDE,TIME ZONE COMBINATION,DIRECTION,LONGITUDE DIFF,TIME ZONES CROSSED,TIME ZONES CROSSED VALUE,DISTANCE (KM),DISTANCE (MI)
2024,2036,0,1067,Connecticut,1,64,Storrs,Connecticut,Storrs Connecticut ,Eastern,6,TRUE,41.8084314,-72.2495231,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,West,-1.6946348,0,0,189.3873311,117.6798317
2024,2035,0,1026,Stetson,16,64,DeLand,Florida,DeLand Florida,Eastern,6,TRUE,29.02832,-81.30312,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,East,7.3589621,0,0,1457.722309,905.7866489
2024,2034,0,1038,North Carolina,1,64,Chapel Hill,North Carolina,Chapel Hill North Carolina ,Eastern,6,TRUE,35.9131996,-79.0558445,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,West,-1.7872822,0,0,178.7477775,111.0687196
2024,2033,0,1055,Howard,16,64,Champaign,Illinois,Champaign Illinois ,Central,5,TRUE,40.1164204,-88.2433829,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Central Eastern,East,7.4002562,1,1,847.8554525,526.8329534
2024,2032,0,1038,North Carolina,1,64,Chapel Hill,North Carolina,Chapel Hill North Carolina ,Eastern,6,TRUE,35.9131996,-79.0558445,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,West,-1.7872822,0,0,178.7477775,111.0687196
2024,2031,0,1016,Wagner,16,64,Staten Island,New York,Staten Island New York,Eastern,6,TRUE,40.56233,-74.13986,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,West,-6.7032667,0,0,834.9101266,518.7891008
2024,2030,0,1056,Houston,1,64,Houston,Texas,Houston Texas ,Central,5,TRUE,29.7604267,-95.3698028,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,5.3208227,0,0,779.6622385,484.4596547
2024,2029,0,1048,Longwood,16,64,Farmville,Virginia,Farmville Virginia ,Eastern,6,TRUE,37.3020965,-78.3919401,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Eastern Central,West,-11.65704,1,1,1071.912904,666.055799
2024,2028,0,1033,Purdue,1,64,West Lafayette,Indiana,West Lafayette Indiana ,Eastern,6,TRUE,40.4258686,-86.9080655,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Eastern Eastern,East,0.7499975,0,0,97.02639593,60.28940732
2024,2027,0,1043,Montana St.,16,64,Bozeman,Montana,Bozeman Montana ,Mountain,4,TRUE,45.6814733,-111.0319925,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Mountain Eastern,East,24.8739245,2,2,2125.4692,1320.705331
2024,2026,0,1033,Purdue,1,64,West Lafayette,Indiana,West Lafayette Indiana ,Eastern,6,TRUE,40.4258686,-86.9080655,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Eastern Eastern,East,0.7499975,0,0,97.02639593,60.28940732
2024,2025,0,1058,Grambling St.,16,64,Grambling,Louisiana,Grambling Louisiana,Central,5,TRUE,32.52765,-92.71404,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Central Eastern,East,6.555972,1,1,996.7081101,619.3257067
2024,2024,0,1053,Iowa St.,2,64,Ames,Iowa,Ames Iowa ,Central,5,TRUE,42.0307812,-93.6319131,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Central Central,West,-2.3025903,0,0,209.8009809,130.3642856
2024,2023,0,1027,South Dakota St.,15,64,Brookings,South Dakota,Brookings South Dakota ,Central,5,TRUE,44.3113573,-96.7983877,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Central Central,East,0.8638843,0,0,346.9133494,215.5619615
2024,2022,0,1077,Arizona,2,64,Tucson,Arizona,Tucson Arizona ,Mountain,3,FALSE,32.2539787,-110.9741769,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Mountain Mountain,West,-0.9168705,0,0,949.4388114,589.9539262
2024,2021,0,1049,Long Beach St.,15,64,Long Beach,California,Long Beach California ,Pacific,3,TRUE,33.7700504,-118.1937395,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Pacific Mountain,East,6.3026921,1,1,956.1149183,594.1022667
2024,2020,0,1047,Marquette,2,64,Milwaukee,Wisconsin,Milwaukee Wisconsin ,Central,5,TRUE,43.0389025,-87.9064736,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Central Eastern,East,1.7484056,1,1,391.7848247,243.4438037
2024,2019,0,1014,Western Kentucky,15,64,Bowling Green,Kentucky,Bowling Green Kentucky ,Central,5,TRUE,36.9685219,-86.4808043,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Central Eastern,East,0.3227363,1,1,312.6006608,194.2410453
2024,2018,0,1024,Tennessee,2,64,Knoxville,Tennessee,Knoxville Tennessee ,Eastern,6,TRUE,35.9606384,-83.9207392,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,East,3.0776125,0,0,289.9690397,180.1784079
2024,2017,0,1031,Saint Peter's,15,64,Jersey City,New Jersey,Jersey City New Jersey ,Eastern,6,TRUE,40.7177545,-74.0431435,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,West,-6.7999832,0,0,852.7072023,529.8476909
2024,2016,0,1054,Illinois,3,64,Champaign,Illinois,Champaign Illinois ,Central,5,TRUE,40.1164204,-88.2433829,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Central Central,West,-7.6911205,0,0,660.5367795,410.4385262
2024,2015,0,1042,Morehead St.,14,64,Morehead,Kentucky,Morehead Kentucky ,Eastern,6,TRUE,38.1839705,-83.4326841,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Eastern Central,West,-12.5018193,1,1,1121.312854,696.751505
2024,2014,0,1075,Baylor,3,64,Waco,Texas,Waco Texas ,Central,5,TRUE,31.549333,-97.1466695,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,7.0976894,0,0,770.9709485,479.0591374
2024,2013,0,1071,Colgate,14,64,Hamilton,New York,Hamilton New York ,Eastern,6,TRUE,42.8270136,-75.5446238,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Eastern Central,West,-14.5043563,1,1,1513.271023,940.3030197
2024,2012,0,1050,Kentucky,3,64,Lexington,Kentucky,Lexington Kentucky ,Eastern,6,TRUE,38.0405837,-84.5037164,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Eastern Eastern,East,4.50783,0,0,470.9927906,292.6613518
2024,2011,0,1035,Oakland,14,64,Auburn Hills,Michigan,Auburn Hills Michigan ,Eastern,6,TRUE,42.6875323,-83.2341028,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Eastern Eastern,East,3.2382164,0,0,367.3763781,228.277098
2024,2010,0,1066,Creighton,3,64,Omaha,Nebraska,Omaha Nebraska ,Central,5,TRUE,41.2565369,-95.9345034,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Central Eastern,East,15.938617,1,1,1341.812105,833.7633875
2024,2009,0,1079,Akron,14,64,Akron,Ohio,Akron Ohio ,Eastern,6,TRUE,41.0814447,-81.5190053,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Eastern Eastern,East,1.5231189,0,0,146.7405072,91.18032393
2024,2008,0,1076,Auburn,4,64,Auburn,Alabama,Auburn Alabama ,Central,5,TRUE,32.6098566,-85.4807825,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Central Pacific,West,-31.9452641,2,1,3156.187989,1961.164293
2024,2007,0,1012,Yale,13,64,New Haven,Connecticut,New Haven Connecticut ,Eastern,6,TRUE,41.308274,-72.9278835,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Eastern Pacific,West,-44.4981631,3,-3,3549.241292,2205.396293
2024,2006,0,1078,Alabama,4,64,Tuscaloosa,Alabama,Tuscaloosa Alabama ,Central,5,TRUE,33.2098407,-87.5691735,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Central Pacific,West,-29.8568731,2,1,2966.03877,1843.011047
2024,2005,0,1070,College of Charleston,13,64,Charleston,South Carolina,Charleston South Carolina ,Eastern,6,TRUE,32.7764749,-79.9310512,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Eastern Pacific,West,-37.4949954,3,-3,3541.229603,2200.418061
2024,2004,0,1063,Duke,4,64,Durham,North Carolina,Durham North Carolina ,Eastern,6,TRUE,35.9940329,-78.898619,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,East,4.9544611,0,0,676.5186396,420.3691936
2024,2003,0,1018,Vermont,13,64,Burlington,Vermont,Burlington Vermont ,Eastern,6,TRUE,44.4758825,-73.212072,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,West,-0.7320859,0,0,426.5132313,265.023035
2024,2002,0,1051,Kansas,4,64,Lawrence,Kansas,Lawrence Kansas ,Central,5,TRUE,38.9716689,-95.2352501,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Central Mountain,West,-16.6557973,1,1,1433.150811,890.5186283
2024,2001,0,1030,Samford,13,64,Homewood,Alabama,Homewood Alabama,Central,5,TRUE,33.47177,-86.80082,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Central Mountain,West,-25.0902274,1,1,2357.744703,1465.034637
2024,2000,0,1029,San Diego St.,5,64,San Diego,California,San Diego California ,Pacific,3,TRUE,32.715738,-117.1610838,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Pacific Pacific,West,-0.2649628,0,0,1661.740191,1032.557484
2024,1999,0,1020,UAB,12,64,Birmingham,Alabama,Birmingham Alabama ,Central,5,TRUE,33.5185892,-86.8103567,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Central Pacific,West,-30.6156899,2,1,2996.400852,1861.87717
2024,1998,0,1032,Saint Mary's,5,64,Moraga,California,Moraga California ,Pacific,3,TRUE,37.8349263,-122.1296871,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Pacific Pacific,East,4.7036405,0,0,1157.345998,719.1414626
2024,1997,0,1057,Grand Canyon,12,64,Phoenix,Arizona,Phoenix Arizona ,Mountain,3,FALSE,33.4483771,-112.0740373,Spokane,Washington,Spokane Washington,Pacific,3,TRUE,47.6587802,-117.4260466,Mountain Pacific,West,-5.3520093,0,0,1642.505481,1020.605589
2024,1996,0,1013,Wisconsin,5,64,Madison,Wisconsin,Madison Wisconsin ,Central,5,TRUE,43.0721661,-89.4007501,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Central Eastern,East,15.4565922,1,1,1305.124185,810.9665709
2024,1995,0,1052,James Madison,12,64,Harrisonburg,Virginia,Harrisonburg Virginia ,Eastern,6,TRUE,38.4495688,-78.8689155,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,East,4.9247576,0,0,489.4029664,304.1009047
2024,1994,0,1059,Gonzaga,5,64,Spokane,Washington,Spokane Washington ,Pacific,3,TRUE,47.6587802,-117.4260466,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Pacific Mountain,East,5.5349992,1,1,884.2898193,549.4722193
2024,1993,0,1046,McNeese St.,12,64,Lake Charles,Louisiana,Lake Charles Louisiana,Central,5,TRUE,30.21309,-93.2044,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Central Mountain,West,-18.6866474,1,1,2051.586464,1274.796727
2024,1992,0,1073,BYU,6,64,Provo,Utah,Provo Utah ,Mountain,4,TRUE,40.2338438,-111.6585337,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Mountain Central,East,15.7240303,1,1,1327.691298,824.989125
2024,1991,0,1062,Duquesne,11,64,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.44062,-79.99589,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Eastern Central,West,-15.9386134,1,1,1341.811888,833.7632529
2024,1990,0,1072,Clemson,6,64,Clemson,South Carolina,Clemson South Carolina ,Eastern,6,TRUE,34.6834382,-82.8373654,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Eastern Central,West,-7.2116147,1,1,659.4366219,409.75492
2024,1989,0,1039,New Mexico,11,64,Albuquerque,New Mexico,Albuquerque New Mexico ,Mountain,4,TRUE,35.0843859,-106.650422,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Mountain Central,East,16.6014419,1,1,1508.246972,937.1812193
2024,1988,0,1021,Texas Tech,6,64,Lubbock,Texas,Lubbock Texas ,Central,5,TRUE,33.5845617,-101.8456417,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Central Eastern,East,21.8497553,1,1,2077.517525,1290.909541
2024,1987,0,1037,North Carolina St.,11,64,Raleigh,North Carolina,Raleigh North Carolina ,Eastern,6,TRUE,35.7795897,-78.6381787,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Eastern Eastern,West,-1.3577077,0,0,531.7008182,330.3835713
2024,1986,0,1028,South Carolina,6,64,Columbia,South Carolina,Columbia South Carolina ,Eastern,6,TRUE,34.0007104,-81.0348144,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Eastern Eastern,East,1.038928,0,0,721.9536803,448.601219
2024,1985,0,1034,Oregon,11,64,Eugene,Oregon,Eugene Oregon ,Pacific,3,TRUE,44.0520691,-123.0867536,Pittsburgh,Pennsylvania,Pittsburgh Pennsylvania,Eastern,6,TRUE,40.4406248,-79.9958864,Pacific Eastern,East,43.0908672,3,3,3528.960946,2192.79467
2024,1984,0,1015,Washington St.,7,64,Pullman,Washington,Pullman Washington ,Pacific,3,TRUE,46.7297771,-117.1817377,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Pacific Central,East,21.2472343,2,2,1798.602908,1117.600033
2024,1983,0,1064,Drake,10,64,Des Moines,Iowa,Des Moines Iowa ,Central,5,TRUE,41.5868353,-93.6249593,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Central Central,West,-2.3095441,0,0,196.0360196,121.8111352
2024,1982,0,1065,Dayton,7,64,Dayton,Ohio,Dayton Ohio ,Eastern,6,TRUE,39.7589478,-84.1916069,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Eastern Mountain,West,-27.6994405,2,-2,2343.317314,1456.069873
2024,1981,0,1040,Nevada,10,64,Reno,Nevada,Reno Nevada ,Pacific,3,TRUE,39.529919,-119.8142691,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Pacific Mountain,East,7.9232217,1,1,686.971271,426.8641577
2024,1980,0,1061,Florida,7,64,Gainesville,Florida,Gainesville Florida ,Eastern,6,TRUE,29.6516344,-82.3248262,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Eastern Eastern,West,-3.8332418,0,0,1177.901045,731.9137766
2024,1979,0,1074,Boise St.,10,64,Boise,Idaho,Boise Idaho ,Mountain,4,TRUE,43.6150186,-116.2023137,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Mountain Eastern,East,30.0442457,2,2,2516.865045,1563.907434
2024,1978,0,1061,Florida,7,64,Gainesville,Florida,Gainesville Florida ,Eastern,6,TRUE,29.6516344,-82.3248262,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Eastern Eastern,West,-3.8332418,0,0,1177.901045,731.9137766
2024,1977,0,1069,Colorado,10,64,Boulder,Colorado,Boulder Colorado ,Mountain,4,TRUE,40.0149856,-105.2705456,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Mountain Eastern,East,19.1124776,2,2,1627.683918,1011.395896
2024,1976,0,1023,Texas,7,64,Austin,Texas,Austin Texas ,Central,5,TRUE,30.267153,-97.7430608,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Central Eastern,East,16.8999341,1,1,1671.343822,1038.524903
2024,1975,0,1017,Virginia,10,64,Charlottesville,Virginia,Charlottesville Virginia ,Eastern,6,TRUE,38.0293059,-78.4766781,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,West,-2.3664486,0,0,376.3753433,233.8687958
2024,1974,0,1023,Texas,7,64,Austin,Texas,Austin Texas ,Central,5,TRUE,30.267153,-97.7430608,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Central Eastern,East,16.8999341,1,1,1671.343822,1038.524903
2024,1973,0,1068,Colorado St.,10,64,Fort Collins,Colorado,Fort Collins Colorado ,Mountain,4,TRUE,40.5852602,-105.084423,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Mountain Eastern,East,24.2412963,2,2,2200.744544,1367.479261
2024,1972,0,1060,Florida Atlantic,8,64,Boca Raton,Florida,Boca Raton Florida,Eastern,6,TRUE,26.376032,-80.12236,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,East,6.1782021,0,0,1689.097734,1049.556673
2024,1971,0,1036,Northwestern,9,64,Evanston,Illinois,Evanston Illinois ,Central,5,TRUE,42.0450722,-87.6876969,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Central Eastern,East,13.743539,1,1,1155.74813,718.1485933
2024,1970,0,1044,Mississippi St.,8,64,Starkville,Mississippi,Starkville Mississippi ,Central,5,TRUE,33.4503998,-88.8183872,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Central Eastern,East,7.9752605,1,1,758.1851933,471.1144375
2024,1969,0,1045,Michigan St.,9,64,East Lansing,Michigan,East Lansing Michigan ,Eastern,6,TRUE,42.7369792,-84.4838654,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,East,3.6407387,0,0,892.1469806,554.354433
2024,1968,0,1041,Nebraska,8,64,Lincoln,Nebraska,Lincoln Nebraska ,Central,5,TRUE,40.813616,-96.7025955,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,6.6536154,0,0,857.7939316,533.0084379
2024,1967,0,1022,Texas A&M,9,64,College Station,Texas,College Station Texas ,Central,5,TRUE,30.627977,-96.3344068,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,6.2854267,0,0,772.4752648,479.9938762
2024,1966,0,1019,Utah St.,8,64,Logan,Utah,Logan Utah ,Mountain,4,TRUE,41.7369803,-111.8338359,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Mountain Eastern,East,25.6757679,2,2,2165.724919,1345.719075
2024,1965,0,1025,TCU,9,64,Fort Worth,Texas,Fort Worth Texas ,Central,5,TRUE,32.7554883,-97.3307658,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Central Eastern,East,11.1726978,1,1,1267.738304,787.7360614
2024,1964,0,1067,Connecticut,1,32,Storrs,Connecticut,Storrs Connecticut ,Eastern,6,TRUE,41.8084314,-72.2495231,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,West,-1.6946348,0,0,189.3873311,117.6798317
2024,1963,0,1060,Florida Atlantic,8,32,Boca Raton,Florida,Boca Raton Florida,Eastern,6,TRUE,26.376032,-80.12236,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,East,6.1782021,0,0,1689.097734,1049.556673
2024,1962,0,1067,Connecticut,1,32,Storrs,Connecticut,Storrs Connecticut ,Eastern,6,TRUE,41.8084314,-72.2495231,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Eastern Eastern,West,-1.6946348,0,0,189.3873311,117.6798317
2024,1961,0,1036,Northwestern,9,32,Evanston,Illinois,Evanston Illinois ,Central,5,TRUE,42.0450722,-87.6876969,Brooklyn,New York,Brooklyn New York,Eastern,6,TRUE,40.6781784,-73.9441579,Central Eastern,East,13.743539,1,1,1155.74813,718.1485933
2024,1960,0,1038,North Carolina,1,32,Chapel Hill,North Carolina,Chapel Hill North Carolina ,Eastern,6,TRUE,35.9131996,-79.0558445,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,West,-1.7872822,0,0,178.7477775,111.0687196
2024,1959,0,1044,Mississippi St.,8,32,Starkville,Mississippi,Starkville Mississippi ,Central,5,TRUE,33.4503998,-88.8183872,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Central Eastern,East,7.9752605,1,1,758.1851933,471.1144375
2024,1958,0,1038,North Carolina,1,32,Chapel Hill,North Carolina,Chapel Hill North Carolina ,Eastern,6,TRUE,35.9131996,-79.0558445,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,West,-1.7872822,0,0,178.7477775,111.0687196
2024,1957,0,1045,Michigan St.,9,32,East Lansing,Michigan,East Lansing Michigan ,Eastern,6,TRUE,42.7369792,-84.4838654,Charlotte,North Carolina,Charlotte North Carolina,Eastern,6,TRUE,35.2270869,-80.8431267,Eastern Eastern,East,3.6407387,0,0,892.1469806,554.354433
2024,1956,0,1056,Houston,1,32,Houston,Texas,Houston Texas ,Central,5,TRUE,29.7604267,-95.3698028,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,5.3208227,0,0,779.6622385,484.4596547
2024,1955,0,1041,Nebraska,8,32,Lincoln,Nebraska,Lincoln Nebraska ,Central,5,TRUE,40.813616,-96.7025955,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,6.6536154,0,0,857.7939316,533.0084379
2024,1954,0,1056,Houston,1,32,Houston,Texas,Houston Texas ,Central,5,TRUE,29.7604267,-95.3698028,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,5.3208227,0,0,779.6622385,484.4596547
2024,1953,0,1022,Texas A&M,9,32,College Station,Texas,College Station Texas ,Central,5,TRUE,30.627977,-96.3344068,Memphis,Tennessee,Memphis Tennessee,Central,5,TRUE,35.1495343,-90.0489801,Central Central,East,6.2854267,0,0,772.4752648,479.9938762
2024,1952,0,1033,Purdue,1,32,West Lafayette,Indiana,West Lafayette Indiana ,Eastern,6,TRUE,40.4258686,-86.9080655,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Eastern Eastern,East,0.7499975,0,0,97.02639593,60.28940732
2024,1951,0,1019,Utah St.,8,32,Logan,Utah,Logan Utah ,Mountain,4,TRUE,41.7369803,-111.8338359,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Mountain Eastern,East,25.6757679,2,2,2165.724919,1345.719075
2024,1950,0,1033,Purdue,1,32,West Lafayette,Indiana,West Lafayette Indiana ,Eastern,6,TRUE,40.4258686,-86.9080655,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Eastern Eastern,East,0.7499975,0,0,97.02639593,60.28940732
2024,1949,0,1025,TCU,9,32,Fort Worth,Texas,Fort Worth Texas ,Central,5,TRUE,32.7554883,-97.3307658,Indianapolis,Indiana,Indianapolis Indiana,Eastern,6,TRUE,39.768403,-86.158068,Central Eastern,East,11.1726978,1,1,1267.738304,787.7360614
2024,1948,0,1053,Iowa St.,2,32,Ames,Iowa,Ames Iowa ,Central,5,TRUE,42.0307812,-93.6319131,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Central Central,West,-2.3025903,0,0,209.8009809,130.3642856
2024,1947,0,1015,Washington St.,7,32,Pullman,Washington,Pullman Washington ,Pacific,3,TRUE,46.7297771,-117.1817377,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Pacific Central,East,21.2472343,2,2,1798.602908,1117.600033
2024,1946,0,1053,Iowa St.,2,32,Ames,Iowa,Ames Iowa ,Central,5,TRUE,42.0307812,-93.6319131,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Central Central,West,-2.3025903,0,0,209.8009809,130.3642856
2024,1945,0,1064,Drake,10,32,Des Moines,Iowa,Des Moines Iowa ,Central,5,TRUE,41.5868353,-93.6249593,Omaha,Nebraska,Omaha Nebraska,Central,5,TRUE,41.2565369,-95.9345034,Central Central,West,-2.3095441,0,0,196.0360196,121.8111352
2024,1944,0,1077,Arizona,2,32,Tucson,Arizona,Tucson Arizona ,Mountain,3,FALSE,32.2539787,-110.9741769,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Mountain Mountain,West,-0.9168705,0,0,949.4388114,589.9539262
2024,1943,0,1065,Dayton,7,32,Dayton,Ohio,Dayton Ohio ,Eastern,6,TRUE,39.7589478,-84.1916069,Salt Lake City,Utah,Salt Lake City Utah,Mountain,4,TRUE,40.7607793,-111.8910474,Eastern Mountain,West,-27.6994405,2,-2,2343.317314,1456.069873
